R1,R2,R3,R4,RSW1,RSW2,H1,H2,H3,H4,HSW1,HSW2,D1,D2,D3,D4,DSW1,DSW2,Kingdom,Phylum,Species
0.02,0,0.01,0.03,0.02,0.01,0.06,0.03,0.07,0.05,0.07,0.04,0.49,0.82,0.56,0.31,1.7,0.91,Bacteria,Proteobacteria,Donghicola
0.13,0.25,1.58,0.92,0.26,0.25,0.2,0.08,0.66,0.29,0.28,0.14,0.04,0.02,0.01,0.02,0,0.01,Bacteria,Planctomycetota,AKAU3564 sediment group
0.11,0.19,0.06,0.04,0.08,0.23,0.12,0.05,0.1,0.1,0.22,0.05,0.88,0.71,0.85,0.76,0.21,0.37,Bacteria,Proteobacteria,Rickettsiaceae
0.22,0.49,0.27,0.37,0.02,0.08,0.03,0.01,0.03,0.02,0.04,0.24,0.87,0.45,0.66,0.78,0.29,0.2,Bacteria,Proteobacteria,Rickettsiales
0.21,0.27,0.12,0.22,0.37,0.48,0.53,0.21,0.37,0.65,0.25,0.4,0.15,0.2,0.14,0.09,0.17,0.14,Bacteria,Proteobacteria,Rhizobiaceae
0.08,0.07,0.01,0.06,0.02,0.07,0.01,0,0,0.02,0,0.04,1.05,0.53,1.18,1.06,0.08,0.67,Bacteria,Bacteroidota,Aureispira
0.05,0.04,0,0,0.01,0.01,0.73,0.28,0.44,0.67,1.59,0.95,0,0,0,0.02,0,0,Bacteria,Proteobacteria,Terasakiellaceae
0.01,0.06,0.01,0.03,0.01,0.06,0.07,0.03,0.09,0.07,0.12,0.08,0.55,0.95,0.84,0.48,0.37,0.95,Bacteria,Bacteroidota,Polaribacter
0.33,0.4,0.16,0.18,0.03,0.08,0.36,0.1,0.12,0.22,0.1,0.35,1,0.03,0.33,0.21,0.3,0.4,Bacteria,Proteobacteria,Rhizobiales
0.42,0.13,2.21,0.54,0.1,0.05,0.02,0.03,0.11,0.05,0.09,0,0.18,0.07,0.03,0.61,0,0.01,Bacteria,Verrucomicrobiota,Kiritimatiellaceae
0.15,0.36,0.11,0.17,0.27,0.26,0.31,0.23,0.18,0.3,0.29,0.12,0.21,0.25,0.43,0.36,0.2,0.37,Bacteria,Bdellovibrionota,OM27 clade
0.16,0.16,0.26,0.25,0.27,0.53,0.2,0.31,0.29,0.27,0.3,0.38,0.09,0.39,0.21,0.11,0.06,0.29,Bacteria,Proteobacteria,Psychromonadaceae
0.13,0.18,0.08,0.2,0.19,0.14,0.16,0.06,0.11,0.22,0.19,1.09,0.13,0.11,0.17,0.16,1.04,0.13,Bacteria,Bacteroidota,Crocinitomix
0.12,0.2,0.15,0.15,0.61,0.59,0.13,0.04,0.05,0.14,0.12,0.14,0.16,0.18,0.2,0.22,0.95,0.33,Bacteria,Planctomycetota,Pir4 lineage
0.01,0.01,0,0,0,0,0.01,0,0,0.01,0.01,0.02,0,0,0,0.01,4.32,0.01,Archaea,Halobacterota,Halorubrum
0.12,0.18,0.07,0.14,0.18,0.11,0.05,0.01,0.03,0,0.07,0.01,0.93,0.48,0.56,0.55,0.26,0.57,Bacteria,Chloroflexi,A4b
0.07,0.11,0.09,0.15,0.25,0.3,0.06,0.02,0.03,0.04,0.07,0.08,0.64,0.62,0.49,0.42,0.13,0.62,Bacteria,Proteobacteria,BD1-7 clade
0.41,0.55,0.42,0.2,0.18,0.23,0.17,0.14,0.13,0.24,0.14,0.17,0.58,0.12,0.23,0.12,0,0.16,Bacteria,Proteobacteria,Roseobacter clade NAC11-7 lineage
1.45,1.31,0.15,0.42,0.05,0.03,0.02,0.01,0.01,0,0,0,0.29,0.09,0.17,0.13,0,0.03,Bacteria,Proteobacteria,MD3-55
0.16,0.15,1.17,0.54,0.08,0.09,0.06,0.1,0.57,0.21,0.04,0.06,0.22,0.14,0.18,0.11,0.2,0.03,Bacteria,Bdellovibrionota,0319-6G20
0.4,0.67,0.37,0.37,0.41,0.59,0.08,0.06,0.08,0.09,0.11,0.13,0.1,0.15,0.05,0.08,0.08,0.2,Bacteria,Proteobacteria,Aliiglaciecola
0.24,0.47,0.16,0.36,0.3,0.32,0.16,0.09,0.12,0.16,0.53,0.24,0.08,0.09,0.09,0.06,0.47,0.05,Bacteria,Myxococcota,Nannocystaceae
0.06,0.07,0.05,0.06,0.06,0.1,0.01,0.03,0.01,0.01,0.04,0.01,0.58,0.64,0.73,0.82,0.21,0.5,Bacteria,Campylobacterota,Poseidonibacter
0.17,0.2,0.03,0.18,0.24,0.16,0.34,0.09,0.11,0.12,0.4,0.19,0.32,0.36,0.33,0.2,0.15,0.34,Bacteria,Verrucomicrobiota,Verrucomicrobiales
0.28,1.43,0.87,0.24,0.1,0.08,0,0,0,0,0,0,0.19,0.18,0.12,0.2,0.02,0.11,Bacteria,Proteobacteria,Francisellaceae
0.29,0.46,1.2,0.79,0.19,0.23,0.12,0.02,0.06,0.09,0.09,0.04,0,0.02,0.01,0.04,0,0,Bacteria,Patescibacteria,JGI 0000069-P22
0.09,0.1,0.03,0.17,0.21,0.25,0.13,0.08,0.07,0.15,0.14,1.13,0.03,0.01,0.01,0.01,0.93,0.01,Bacteria,Proteobacteria,Nitrincolaceae
0.07,0.06,0.03,0.13,0.07,0.14,0.33,0.16,0.16,0.26,0.24,0.1,0.26,0.37,0.28,0.32,0.07,0.44,Bacteria,Proteobacteria,EC3
0.11,0.15,0.1,0.2,0.15,0.13,0.53,0.17,0.4,0.36,0.69,0.4,0.01,0.01,0.01,0.03,0,0,Bacteria,Entotheonellaeota,Candidatus Entotheonella
0.15,0.27,0.1,0.2,0.4,0.27,0.3,0.31,0.38,0.4,0.35,0.26,0.01,0,0.01,0,0.02,0,Bacteria,Proteobacteria,Litoribrevibacter
0.21,0.11,0.05,0.18,0.3,0.33,0.05,0.02,0.03,0.03,0.11,0.13,0.24,0.19,0.31,0.34,0.58,0.21,Bacteria,Bacteroidota,Cyclobacteriaceae
0.06,0.21,0.06,0.11,0.1,0,0.04,0.01,0.03,0,0,0,1.57,0.21,0.41,0.36,0.02,0.22,Bacteria,Bacteroidota,Candidatus Paenicardinium
0,0.01,0,0,0,0,0.2,0.74,0.31,0.3,0.27,0.78,0.02,0,0,0,0.71,0,Bacteria,Verrucomicrobiota,Luteolibacter
0.04,0.04,0.06,0.01,0.05,0.07,0,0.02,0.01,0.01,0,0,0.32,1.68,0.3,0.21,0.12,0.37,Bacteria,Bacteroidota,Amoebophilaceae
0.13,0.36,0.06,0.3,0.58,0.35,0.2,0.05,0.13,0.11,0.12,0.19,0.05,0.1,0.1,0.08,0.2,0.12,Bacteria,Proteobacteria,PS1 clade
0,0,0,0.01,0,0.01,0.76,0.25,0.42,0.74,0.57,0.4,0,0.02,0,0,0.04,0.01,Bacteria,Proteobacteria,Roseobacter clade Marinomonas lineage
0.18,0.43,0.05,0.22,0.31,0.22,0.19,0.07,0.1,0.16,0.18,0.38,0.06,0.07,0.05,0.05,0.37,0.08,Bacteria,Proteobacteria,Kiloniellaceae
0.3,0.34,0.1,0.26,0.34,0.35,0.09,0.04,0.03,0.03,0.04,0.37,0.21,0.07,0.04,0.01,0.48,0.06,Bacteria,Verrucomicrobiota,Roseibacillus
2.14,0.46,0.01,0.06,0.04,0.02,0.02,0.04,0.02,0.03,0,0.01,0.11,0.04,0.02,0.01,0.09,0.04,Bacteria,Proteobacteria,Idiomarina
0.23,0.53,0.26,0.51,0.46,0.38,0.07,0.02,0.06,0.03,0.12,0.28,0.06,0.03,0,0.03,0.06,0.02,Bacteria,Proteobacteria,Aestuariicella
0.15,0.16,0.06,0.21,0.3,0.29,0.04,0.01,0.04,0.04,0.04,0.07,0.18,0.11,0.19,0.08,0.88,0.29,Bacteria,Planctomycetota,Planctomicrobium
0.34,0.25,0.09,0.24,0.42,0.34,0.13,0.06,0.04,0.15,0.18,0.06,0.15,0.12,0.21,0.23,0.02,0.08,Bacteria,Proteobacteria,HTCC5015
